,Country,2015 Happiness Rank,2016 Happiness Rank,2015 Air Pollution Deaths Per 100k,2016 Air Pollution Deaths Per 100k
0,Switzerland,1,2,12.92,11.98
1,Iceland,2,3,10.74,9.92
2,Denmark,3,1,19.89,19.32
3,Norway,4,4,11.47,10.86
4,Canada,5,6,12.22,11.0
5,Finland,6,5,8.69,8.4
6,Netherlands,7,7,19.29,18.59
7,Sweden,8,10,9.85,9.28
8,New Zealand,9,8,9.38,8.65
9,Australia,10,9,11.28,10.59
10,Israel,11,11,22.84,21.32
11,Costa Rica,12,14,20.62,21.09
12,Austria,13,12,18.86,17.81
13,Mexico,14,21,45.13,44.74
14,United States,15,13,19.95,18.81
15,Brazil,16,17,31.52,30.35
16,Luxembourg,17,20,17.06,16.09
17,Ireland,18,19,15.68,14.83
18,Belgium,19,18,20.48,19.27
19,United Arab Emirates,20,28,79.42,78.11
20,United Kingdom,21,23,18.24,17.89
21,Venezuela,23,44,37.43,34.43
22,Singapore,24,22,21.71,19.93
23,Panama,25,25,22.88,21.74
24,Germany,26,16,20.48,20.1
25,Chile,27,24,24.84,24.02
26,Qatar,28,36,64.72,62.04
27,France,29,32,12.83,11.97
28,Argentina,30,26,33.09,31.84
29,Czech Republic,31,27,32.42,30.79
30,Uruguay,32,29,20.83,20.23
31,Colombia,33,31,23.24,22.42
32,Thailand,34,33,33.33,33.06
33,Saudi Arabia,35,34,69.35,65.16
34,Spain,36,37,15.98,14.78
35,Malta,37,30,23.5,23.36
36,Taiwan,38,34,33.33,32.8
37,Kuwait,39,41,35.9,34.87
38,Suriname,40,40,50.61,50.1
39,Trinidad and Tobago,41,43,50.63,51.58
40,El Salvador,42,46,48.85,47.01
41,Guatemala,43,39,66.89,66.82
42,Uzbekistan,44,49,111.07,105.81
43,Slovakia,45,45,38.52,35.81
44,Japan,46,53,11.95,11.34
45,South Korea,47,57,23.48,21.88
46,Ecuador,48,51,28.04,27.55
47,Bahrain,49,42,65.48,63.67
48,Italy,50,50,18.55,17.03
49,Bolivia,51,59,56.76,54.63
50,Moldova,52,55,55.84,51.7
51,Paraguay,53,70,45.04,42.81
52,Kazakhstan,54,54,55.33,52.64
53,Slovenia,55,63,20.82,19.74
54,Lithuania,56,60,34.74,33.55
55,Nicaragua,57,48,36.99,34.78
56,Peru,58,64,32.11,31.01
57,Belarus,59,61,52.69,50.79
58,Poland,60,57,37.18,35.09
59,Malaysia,61,47,52.56,49.78
60,Croatia,62,74,37.54,34.24
61,Libya,63,67,70.57,71.89
62,Russia,64,56,46.08,43.76
63,Jamaica,65,73,41.81,42.43
64,Cyprus,67,69,27.61,25.96
65,Algeria,68,38,44.36,44.54
66,Turkmenistan,70,65,69.73,67.36
67,Mauritius,71,66,49.7,49.17
68,Estonia,73,72,16.53,15.98
69,Indonesia,74,79,69.33,67.61
70,Vietnam,75,96,63.14,61.47
71,Turkey,76,78,49.71,47.88
72,Kyrgyzstan,77,85,76.47,71.62
73,Nigeria,78,103,83.63,82.9
74,Bhutan,79,84,77.37,74.55
75,Azerbaijan,80,81,83.3,80.72
76,Pakistan,81,92,127.82,125.48
77,Jordan,82,80,40.38,39.67
78,Montenegro,82,88,49.04,47.89
79,China,84,83,78.25,74.71
80,Zambia,85,106,102.52,100.57
81,Romania,86,71,42.26,40.8
82,Serbia,87,86,68.17,63.99
83,Portugal,88,94,16.13,15.18
84,Latvia,89,68,35.64,34.83
85,Philippines,90,82,114.29,109.84
86,Morocco,92,90,68.38,68.43
87,Macedonia,93,95,51.44,50.37
88,Albania,95,109,42.3,41.02
89,Bosnia and Herzegovina,96,87,60.88,58.98
90,Dominican Republic,98,89,38.95,37.69
91,Laos,99,102,127.48,123.19
92,Mongolia,100,101,84.76,81.38
93,Greece,102,99,26.9,25.79
94,Lebanon,103,93,50.71,49.96
95,Hungary,104,91,44.68,40.54
96,Honduras,105,104,54.0,52.5
97,Tajikistan,106,100,95.99,94.43
98,Tunisia,107,98,51.9,52.42
99,Bangladesh,109,110,113.3,109.4
100,Iran,110,105,47.21,46.64
101,Ukraine,111,123,71.01,67.77
102,Iraq,112,112,46.31,43.94
103,South Africa,113,116,65.66,63.01
104,Ghana,114,124,111.14,109.09
105,Zimbabwe,115,131,132.75,128.69
106,Liberia,116,150,117.01,115.23
107,India,117,118,136.35,134.64
108,Sudan,118,133,100.55,97.37
109,Haiti,119,136,125.85,123.59
110,Nepal,121,107,136.43,134.88
111,Ethiopia,122,115,93.58,90.64
112,Sierra Leone,123,111,156.91,152.9
113,Mauritania,124,130,87.45,85.22
114,Kenya,125,122,93.82,92.05
115,Armenia,127,121,67.16,64.86
116,Botswana,128,137,75.07,72.0
117,Myanmar,129,119,123.97,120.87
118,Georgia,130,126,69.46,70.04
119,Malawi,131,132,109.0,106.87
120,Sri Lanka,132,117,52.57,43.27
121,Cameroon,133,114,122.51,118.33
122,Bulgaria,134,129,53.67,51.78
123,Egypt,135,120,115.05,114.11
124,Yemen,136,147,99.42,97.02
125,Angola,137,141,100.24,97.12
126,Mali,138,135,107.98,108.83
127,Comoros,140,138,97.49,95.46
128,Uganda,141,145,97.85,95.54
129,Senegal,142,128,108.66,107.07
130,Gabon,143,134,74.19,72.87
131,Niger,144,142,140.95,140.37
132,Cambodia,145,140,111.89,109.49
133,Tanzania,146,149,99.15,97.67
134,Madagascar,147,148,160.59,157.44
135,Chad,149,144,163.49,161.38
136,Guinea,150,151,167.47,163.77
137,Burkina Faso,152,145,137.96,136.0
138,Afghanistan,153,154,191.8,186.67
139,Rwanda,154,152,100.56,98.5
140,Benin,155,153,119.29,115.81
141,Syria,156,156,65.14,64.84
142,Burundi,157,157,146.91,144.36
143,Togo,158,155,121.15,118.16
